TV#,A,B,C,D,E,Batch Size
1,34%,36%,9%,34%,32%,4
2,35%,38%,27%,47%,53%,8
3,35%,38%,30%,49%,60%,12
4,35%,38%,32%,52%,65%,16
5,35%,44%,36%,53%,67%,20
6,35%,44%,38%,54%,73%,24
7,35%,44%,38%,55%,76%,28
8,35%,44%,43%,55%,79%,32
9,37%,45%,50%,56%,82%,36
10,39%,46%,53%,56%,86%,40
11,39%,48%,54%,57%,88%,44
12,39%,49%,58%,57%,88%,48
13,40%,49%,59%,57%,89%,52
14,40%,50%,59%,57%,89%,56
15,41%,50%,62%,57%,89%,60
16,41%,51%,62%,57%,89%,64
17,41%,51%,62%,57%,89%,68
18,41%,51%,62%,57%,90%,72
19,41%,51%,62%,57%,90%,76
20,41%,51%,62%,57%,90%,80
21,41%,51%,62%,57%,90%,84
22,41%,51%,62%,57%,90%,88
23,41%,51%,62%,57%,90%,92
24,41%,51%,63%,57%,90%,96
25,41%,51%,64%,57%,91%,100
